Attraction Name,Category,Destination,Details,Mood,Image,destination_normalized,name_normalized,district_normalized
Pandiruppu,Essence,Kalmunai,"Nice place to be relaxing | better time is after 4:30 or 5:00. It draws a steady stream of local visitors, especially on weekends.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRS74TbnNeZSUL6GmaKyMZmZLgRUqPwsADhKnRwv4Oawg&s=10,kalmunai,pandiruppu,Kalmunai
Pareiyan Ella Falls,Scenic,Badulla,"Too dangerous place,never try to swim. there are deep holeaswell mbe careful when walking on the bushes. Also the map is wrong. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5rqPfKYPqRQoTYoMMoAhEthF46br75lF1FJsVT6UkWw&s=10,badulla,pareiyan ella falls,Badulla
Parewi Duwa Temple,Heritage,Matara,"A temple located in an island near Matara bus stand. Few days ago the bridge was broken and a temporary bridge was built. It's a risky bridge. Visitors are advised to take care underfoot, as conditions can be slippery.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKVCHjLB86uO4bFw3NecJOD2Y51ikNqqFZenXgRQOUow&s=10,matara,parewi duwa temple,Matara
Parrot Rock,Scenic,Matara,"One of the best place to watch beautiful Mirissa Beach. My recommendation will be to reach this rock before sunset and grab a corner and just relax watching one of the beautiful sunset of your life. We were lucky to watch sunset at one end and full moon rise at other end. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNA0ZgboireecMvGJSU_KLLkpQkYWaV9SvUSrEPi1TXg&s=10,matara,parrot rock,Matara
Pasindu's Snorkeling Centre,Thrills,Matara,I liked everything very much! We were given good snorkeling equipment. We were taken to the turtles and also met a lot of fish. It's a popular local spot for a refreshing bath or swim.,Excited,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTuMJBnTBJdxTQnubqw14sRjCKa93CUOHArCAQ5w_9qQ&s=10,matara,pasindu s snorkeling centre,Matara
Pettah Floating Market,Heritage,Colombo,"Opened in 2014 on a section of Colombo's Beira Lake, Pettah Floating Market was built to relocate street vendors from the crowded Pettah district and give the lake area a cleaner, more attractive public space. It has around 90 stalls, some set on platforms over the water, selling clothing, handicrafts, electronics and local snacks. It draws a steady stream of local visitors, especially on weekends, though some stalls can be quiet on off-peak days.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkvlzxALpESae0T54sXJB9UoOnoCN_TPqNocxy_6sbRQ&s=10,colombo,pettah floating market,Colombo
"Pitawala pathana , riverston",Scenic,Matale,"This is another semi world's end which is located close to riverston. If you visit Riverston, you should visit this as well. A ticket has to be obtained at the entry. The spot is also known for its scenic views.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQj92y9kOmETUy3gxAZ9WYrrGknthtinpFO2gaqcpfQhw&s=10,matale,pitawala pathana riverston,Matale
Porawagala Viewpoint,Scenic,Badulla,"Really beautiful place. From below, all the stations of Bandarawela city can be seen from this point. The steep downhill slope is very dangerous. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR28veVk3lpVnsTSobV5_bjuqiwtVcxbtC72nbhKIPfqA&s=10,badulla,porawagala viewpoint,Badulla
Pothgul Vihara,Heritage,Rathnapura,Poth gula means the cave of books .This was a buddhist library in Anuradhapura era. A lot of puskola books were written at this place. King Walagamba has lived here and he developed this temple after regaining the Kingdom. Reaching it typically involves a short hike or a climb up steps.,Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSBP8MiZQa73c4-qtpkHpeaHWhjBIbk1_hhelwgyU8oQ&s=10,rathnapura,pothgul vihara,Ratnapura
Prabhawa Mountain Day Viewpoint,Scenic,Badulla,"On the top of Haputale Peak is a Hindu Kovil, an old temple of the tea estate workers, called Surungamuni Kovil. Hindus use to come here to celebrate cultural festivals. Hikers come here to enjoy the great view over Haputale town, forest,. It remains a relatively quiet, less-touristy spot.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWXSToB3sZlH4FRIX6DacEmT6LP_LRpkv5T24YOBniOw&s=10,badulla,prabhawa mountain day viewpoint,Badulla
Puwakpitiya Oya,Essence,Matale,"Absolutely stunning place. It is safe to have a bath closer to the shore but pretty much deep in middle of the river. Tried touching the bed but didn't work out 😂. Visitors are advised to take care underfoot, as conditions can be slippery.",Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLOzPjD4Jatawvvra-5-5RF5wFbSEOvBhmT4PECymPDA&s,matale,puwakpitiya oya,Matale
Queen Viharamahadevi Statue,Heritage,Colombo,"Viharamahadevi (Sinhala:විහාරමහාදේවි) was the mother of King Dutugamunu, Saddhatissa and the Queen consort of King Kavantissa (King of the Ruhuna Sri Lanka).According to recent findings her name might have been ""Sharwaree"" which means evening. Queen Viharamahadevi was the daughter of King Kelanitissa who ruled Kelaniya.The King once punished an innocent monk by boiling him alive in a cauldron of oil. It is said that the gods, angered over this cruel deed, made the ocean rush inland and flood the land. Visitors are advised to take care underfoot, as conditions can be slippery.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRee3t_Zmja8ULvC4735F9yqa1EjeeeOXZXr0U2at0cvQ&s,colombo,queen viharamahadevi statue,Colombo
Rahas ella waterfalls,Scenic,Matale,"It's a very beautiful waterfall located near wattegama.easy acces and ability to see even in the vehicle. But having bath swimming diving here vwry risky and dangerous. Many people died here and be carefull od yourself and specially children. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_ZKWYLZbv51UoFRq8RaenZZSktdgu9wQYOXVZWv-GnQ&s=10,matale,rahas ella waterfalls,Matale
Raja & the Whales,Essence,Matara,If you want to go whale watching in Mirissa. Raja & the whales is the way to go. They do research on the whales and can tell you all about them.,Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAvCEnHU83Y3aBj5-8ZGKzUC0dOkfprzyZOSlIqScikQ&s=10,matara,raja the whales,Matara
Rajanawa Waterfall,Scenic,Rathnapura,"Rajanawa waterfall situated just 6km away from Ratnapura town. Easily accessible from Ratnapura - Kalawana main road. It is surrounded by Large trees which gives a lush greenery surrounding. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxx2H7ojRso9f-vTQT8jdPYrqOC5VP_Jn4hPAZOTFfeQ&s=10,rathnapura,rajanawa waterfall,Ratnapura
Rambadagalla monaragala temple,Heritage,Kurunagela,World's tallest granite buddha statue is situated here. View from the top of the Rock is breathtaking. The spot is also known for its scenic views.,Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwFwvX-dqryGJ43Ygvm3eiGLLlHjNMXKD489fOp3wsTQ&s=10,kurunagela,rambadagalla monaragala temple,Kurunegala
Rangala natural pool,Scenic,Matale,"Beautiful natural water pool located in Galabadawatte, Theldeniya. In some areas it is deep around 30 feet and swimming is dangerous in these areas. Please read notice boards before you swim or bath. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQP59KWDj6q2QRHGOacIbQfPYlr2OgIIfoUf0miRd7anQ&s=10,matale,rangala natural pool,Matale
Rathnapura National Museum,Heritage,Rathnapura,"A historic place in Ratnapura town . It was built by Ehelepola nilame while he was the representative to the King of Kandian Kingdom. Later this walawwa was used as Gavernment Agent's bungalow, until 1987. It remains a relatively quiet, less-touristy spot.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNLOzHLyxkgF4PteJB5njFZyAFoNDpzmEYYIvx3Btdeg&s=10,rathnapura,rathnapura national museum,Ratnapura
Ravan Ella Waterfall,Scenic,Badulla,"Ravan Ella waterfall is a hidden gem in Sri Lanka. The majestic cascades create a mesmerizing spectacle, surrounded by pristine nature. The trek to the waterfall is adventurous, adding to the thrill. It's a popular local spot for a refreshing bath or swim.",Peaceful,,badulla,ravan ella waterfall,Badulla
Ravana Waterfall,Scenic,Badulla,"One of the beautiful waterfall in Ramboda. Its located on kandy nuwaraeliya road. Easy to access and you dont need to pay for anything. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXzoga6BWTGu8wFBcu3MwG-3ScFqYx2Hg-mnqH40o1xg&s=10,badulla,ravana waterfall,Badulla
Ravana's Cave,Essence,Badulla,"I really enjoyed visiting the cave, because there were no guides or other tourists. I loved that I saw a lot of monkeys, birds and bats. The birds make small nests in the roof of the cave, so be careful not to disturb. Visitors are advised to take care underfoot, as conditions can be slippery.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTTCK42v82U1S8jGcHclDEd1600z011PcwQtr6qXqkBA&s=10,badulla,ravana s cave,Badulla
Rekawa Turtle Beach,Wild,Hambantota,"The beach is great and spacious. Very few tourists get lost here and it is quite lonely, especially during the day. Unfortunately, due to the swell, you usually can't go swimming here and there is a strong wind. Visitors are advised to take care underfoot, as conditions can be slippery.",Adventure,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1S-1f6wPrkP-joA1OJCtbtC4n6ssVfgctPzx5fflayg&s=10,hambantota,rekawa turtle beach,Hambantota
Ridiyagama Safari Park,Wild,Hambantota,"Highly recommended for those who love to see animals from less distance. Safety and security are well organized. Animals are kept in good condition. Visitors are advised to take care underfoot, as conditions can be slippery.",Adventure,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDgXBYYmklvivF85Qwk9qJZSYyNTVaxkXp5Izt4vdX2w&s=10,hambantota,ridiyagama safari park,Hambantota
Riverston,Essence,Matale,"Riverston is a cool, misty highland area on the edge of the Knuckles Mountain Range in the Matale District, best known for the grassy plateau of Pitawala Pathana, often called ""Mini World's End"" for its dramatic cliff-edge views over the valley below. The region also has several waterfalls and forest trails nearby, and stays relatively quiet compared to more touristed parts of the island. The final approach road can be rough, so a motorbike or 4x4 vehicle is recommended.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxYBiN-a2o7xGMkODqOkOVnEPTfwE29eW1ibXdMpM_UA&s=10,matale,riverston,Matale
Rukmani Devi Park,Essence,Gampaha,"Located in Negombo. An ideal place to relax with your friends and family and there is a play area for kids. The park is very spacious and well cared for. It draws a steady stream of local visitors, especially on weekends.",Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRK4liUQBDuNK679Bnh5SHHpGD5Lph0gQQSranaxtbZTQ&s,gampaha,rukmani devi park,Gampaha
Rumassala Sanctuary,Wild,Galle,"Rumassala Sanctuary | Rumassala Sanctuary. Rumassala Sanctuary is a popular tourist destination located on Jungle Beach Road, Unawatuna, Galle. The sanctuary is a botanical paradise with rare plants and medicinal plants as well as endemic birds. It's a popular local spot for a refreshing bath or swim.",Adventure,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiWygVCau8RPvkJ-wColpUPA_Q90twFPAdgVovwkrFsw&s=10,galle,rumassala sanctuary,Galle
Rumassala South Beach,Pristine,Galle,"A great place to relax, everything is very conveniently located, the cafes and restaurants are excellent, the prices are funny, the people are smiling and kind. I recommend this town to everyone, and especially the Ceylon Avenue Hotel, new with European-quality renovation and air conditioning. Visitors are advised to take care underfoot, as conditions can be slippery.",Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzIwNxiPf7P4WZM5a8gp89WqbwkAwWPxEtG9rcwqC0RQ&s=10,galle,rumassala south beach,Galle
Sambodhi Pagoda,Heritage,Colombo,Amazing temple because Pagoda is constructed on a flat form. Main idea of it to show sri lanka is a Buddhist county When ships close up to the Colombo harbor first of all seeing this Pagoda . Also this Pagoda is a symbol in five hundred rupee note. The spot is also known for its scenic views.,Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxa7NKV-WYbTmn9SgOftFXI8eO0Qn-ss4Qz6WyzSzNOA&s=10,colombo,sambodhi pagoda,Colombo
Saniro Dream Paradise,Essence,Gampaha,Situated a little away from Colombo but easily accessible through Katunayake highway. Ample parking is available. Good for dayouting. It's a popular local spot for a refreshing bath or swim.,Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSu944rmpAav1eZ-GwUDBx7FMslyMKLlVWwrmxINv_1-g&s=10,gampaha,saniro dream paradise,Gampaha
Sathutu Uyana,Essence,Colombo,"I’m actually at a loss for words!!! I had no idea Sathutu Uyana was still in business. They have moved from their original location at Vihara Maha Devi Park. Visitors are advised to take care underfoot, as conditions can be slippery.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTP0iMZYE3AsaxEg9AOdWzDisOKBprhFMWzwcnpH0hdUA&s=10,colombo,sathutu uyana,Colombo
Sea corner,Essence,Kalmunai,"Sea corner is a local attraction in the Kalmunai district, valued by visitors for its natural or cultural character. It's a popular local spot for a refreshing bath or swim.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9F_dyl3JFqQ5FyMCiK4voJzJ9YJ5AQp9cu8R5IRpM2A&s=10,kalmunai,sea corner,Kalmunai
Sembuwatta lake,Essence,Matale,"Great place to relax and get some fun with friends. Also you can do some fun events like zipline, boat rides, shooting. There is a natural pool and we can get it a freeze bathe. Visitors are advised to take care underfoot, as conditions can be slippery.",Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSb6-tckZMPTLXjDqFLMskVX3qWpJUnMcXeIYbK1qsTHA&s=10,matale,sembuwatta lake,Matale
Sera ella water falls,Scenic,Matale,"One of the beautiful waterfalls hidden in Knuckles. Not advisable to bath in the base pond. Can visit by a car and road condition is good. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPJVeEcmpJEQJOPT0RY-GA7YaB-Gf1RU8CRAyFCa6WZQ&s=10,matale,sera ella water falls,Matale
Shanthipura view point,Scenic,Hatton,Amazing viewpoint but less attractive to the visitors who come to Nuwara Eliya because of the transportation difficulties. But I would like to recommend if anyone can go there and see the stunning view of the whole Nuwara Eliya town from this natural place. There is a small cost when you go there. The spot is also known for its scenic views.,Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFag6VunOZoxN3bVLEEKZvicO6ubv6PI8YUWj6z1CoIQ&s=10,hatton,shanthipura view point,Hatton
